"No.","Time","Source","Destination","Protocol","Length","Info","Packet payload length","TCP source port","TCP destination port","TCP flags","HTTP request"
"1","0.000000","192.168.1.18","255.255.255.255","DHCP","328","DHCP Inform   - Transaction ID 0xeb0251cc","","","","",""
"2","3.993607","192.168.1.18","255.255.255.255","DHCP","328","DHCP Inform   - Transaction ID 0xeb0251cc","","","","",""
"3","82.820545","192.168.1.18","255.255.255.255","DHCP","328","DHCP Inform   - Transaction ID 0xe7487ad9","","","","",""
"4","83.709747","127.0.0.1","127.0.0.1","TCP","52","49798  >  3306 [SYN] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM=1","0","49798","3306","0x002",""
"5","83.709747","127.0.0.1","127.0.0.1","TCP","52","3306  >  49798 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM=1","0","3306","49798","0x012",""
"6","83.709747","127.0.0.1","127.0.0.1","TCP","40","49798  >  3306 [ACK] Seq=1 Ack=1 Win=8192 Len=0","0","49798","3306","0x010",""
"7","83.709747","127.0.0.1","127.0.0.1","MySQL","118","Server Greeting proto=10 version=5.6.20","78","3306","49798","0x018",""
"8","83.709747","127.0.0.1","127.0.0.1","TCP","40","49798  >  3306 [ACK] Seq=1 Ack=79 Win=7936 Len=0","0","49798","3306","0x010",""
"9","83.709747","127.0.0.1","127.0.0.1","MySQL","127","Login Request user=root","87","49798","3306","0x018",""
"10","83.709747","127.0.0.1","127.0.0.1","TCP","40","3306  >  49798 [ACK] Seq=79 Ack=88 Win=7936 Len=0","0","3306","49798","0x010",""
"11","83.709747","127.0.0.1","127.0.0.1","MySQL","88","Auth Switch Request","48","3306","49798","0x018",""
"12","83.709747","127.0.0.1","127.0.0.1","TCP","40","49798  >  3306 [ACK] Seq=88 Ack=127 Win=7936 Len=0","0","49798","3306","0x010",""
"13","83.709747","127.0.0.1","127.0.0.1","MySQL","44","Auth Switch Response","4","49798","3306","0x018",""
"14","83.709747","127.0.0.1","127.0.0.1","TCP","40","3306  >  49798 [ACK] Seq=127 Ack=92 Win=7936 Len=0","0","3306","49798","0x010",""
"15","83.709747","127.0.0.1","127.0.0.1","MySQL","51","Response OK","11","3306","49798","0x018",""
"16","83.709747","127.0.0.1","127.0.0.1","TCP","40","49798  >  3306 [ACK] Seq=92 Ack=138 Win=7936 Len=0","0","49798","3306","0x010",""
"17","83.709747","127.0.0.1","127.0.0.1","MySQL","47","Request Set Option","7","49798","3306","0x018",""
"18","83.709747","127.0.0.1","127.0.0.1","TCP","40","3306  >  49798 [ACK] Seq=138 Ack=99 Win=7936 Len=0","0","3306","49798","0x010",""
"19","83.709747","127.0.0.1","127.0.0.1","MySQL","49","Response","9","3306","49798","0x018",""
"20","83.709747","127.0.0.1","127.0.0.1","TCP","40","49798  >  3306 [ACK] Seq=99 Ack=147 Win=7936 Len=0","0","49798","3306","0x010",""
"21","83.709747","127.0.0.1","127.0.0.1","MySQL","87","Request Query","47","49798","3306","0x018",""
"22","83.709747","127.0.0.1","127.0.0.1","TCP","40","3306  >  49798 [ACK] Seq=147 Ack=146 Win=7936 Len=0","0","3306","49798","0x010",""
"23","83.709747","127.0.0.1","127.0.0.1","MySQL","51","Response OK","11","3306","49798","0x018",""
