"No.","Time","Source","Destination","Protocol","Length","Info","Packet payload length","TCP source port","TCP destination port","TCP flags","HTTP request"
"1","0.000000","192.168.1.8","255.255.255.255","DHCP","328","DHCP Inform   - Transaction ID 0x97cabdf1","","","","",""
"2","3.002122","192.168.1.8","255.255.255.255","DHCP","328","DHCP Inform   - Transaction ID 0x97cabdf1","","","","",""
"3","3.742133","127.0.0.1","127.0.0.1","TCP","52","50084  >  3306 [SYN] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM=1","0","50084","3306","0x002",""
"4","3.742133","127.0.0.1","127.0.0.1","TCP","52","3306  >  50084 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM=1","0","3306","50084","0x012",""
"5","3.742133","127.0.0.1","127.0.0.1","TCP","40","50084  >  3306 [ACK] Seq=1 Ack=1 Win=8192 Len=0","0","50084","3306","0x010",""
"6","3.744633","127.0.0.1","127.0.0.1","MySQL","118","Server Greeting proto=10 version=5.6.20","78","3306","50084","0x018",""
"7","3.777133","127.0.0.1","127.0.0.1","TCP","40","50084  >  3306 [ACK] Seq=1 Ack=79 Win=7936 Len=0","0","50084","3306","0x010",""
"8","3.789634","127.0.0.1","127.0.0.1","MySQL","127","Login Request user=root","87","50084","3306","0x018",""
"9","3.792134","127.0.0.1","127.0.0.1","TCP","40","3306  >  50084 [ACK] Seq=79 Ack=88 Win=7936 Len=0","0","3306","50084","0x010",""
"10","3.792134","127.0.0.1","127.0.0.1","MySQL","88","Auth Switch Request","48","3306","50084","0x018",""
"11","3.794634","127.0.0.1","127.0.0.1","TCP","40","50084  >  3306 [ACK] Seq=88 Ack=127 Win=7936 Len=0","0","50084","3306","0x010",""
"12","3.797134","127.0.0.1","127.0.0.1","MySQL","44","Auth Switch Response","4","50084","3306","0x018",""
"13","3.797134","127.0.0.1","127.0.0.1","TCP","40","3306  >  50084 [ACK] Seq=127 Ack=92 Win=7936 Len=0","0","3306","50084","0x010",""
"14","3.797134","127.0.0.1","127.0.0.1","MySQL","51","Response OK","11","3306","50084","0x018",""
"15","3.797134","127.0.0.1","127.0.0.1","TCP","40","50084  >  3306 [ACK] Seq=92 Ack=138 Win=7936 Len=0","0","50084","3306","0x010",""
"16","3.799634","127.0.0.1","127.0.0.1","MySQL","47","Request Set Option","7","50084","3306","0x018",""
"17","3.802134","127.0.0.1","127.0.0.1","TCP","40","3306  >  50084 [ACK] Seq=138 Ack=99 Win=7936 Len=0","0","3306","50084","0x010",""
"18","3.802134","127.0.0.1","127.0.0.1","MySQL","49","Response","9","3306","50084","0x018",""
"19","3.802134","127.0.0.1","127.0.0.1","TCP","40","50084  >  3306 [ACK] Seq=99 Ack=147 Win=7936 Len=0","0","50084","3306","0x010",""
"20","3.802134","127.0.0.1","127.0.0.1","MySQL","87","Request Query","47","50084","3306","0x018",""
