"No.","Time","Source","Destination","Protocol","Length","Info","Packet payload length","TCP source port","TCP destination port","TCP flags","HTTP request"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","40","49447  >  2869 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","0","49447","2869","0x014",""
"2","9.577239","127.0.0.1","127.0.0.1","TCP","52","49895  >  3306 [SYN] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM=1","0","49895","3306","0x002",""
"3","9.607239","127.0.0.1","127.0.0.1","TCP","52","3306  >  49895 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM=1","0","3306","49895","0x012",""
"4","9.607239","127.0.0.1","127.0.0.1","TCP","40","49895  >  3306 [ACK] Seq=1 Ack=1 Win=8192 Len=0","0","49895","3306","0x010",""
"5","9.627239","127.0.0.1","127.0.0.1","MySQL","118","Server Greeting proto=10 version=5.6.20","78","3306","49895","0x018",""
"6","9.627239","127.0.0.1","127.0.0.1","TCP","40","49895  >  3306 [ACK] Seq=1 Ack=79 Win=7936 Len=0","0","49895","3306","0x010",""
"7","9.627239","127.0.0.1","127.0.0.1","MySQL","127","Login Request user=root","87","49895","3306","0x018",""
"8","9.627239","127.0.0.1","127.0.0.1","TCP","40","3306  >  49895 [ACK] Seq=79 Ack=88 Win=7936 Len=0","0","3306","49895","0x010",""
"9","9.627239","127.0.0.1","127.0.0.1","MySQL","88","Auth Switch Request","48","3306","49895","0x018",""
"10","9.677240","127.0.0.1","127.0.0.1","TCP","40","49895  >  3306 [ACK] Seq=88 Ack=127 Win=7936 Len=0","0","49895","3306","0x010",""
"11","9.677240","127.0.0.1","127.0.0.1","MySQL","44","Auth Switch Response","4","49895","3306","0x018",""
"12","9.687240","127.0.0.1","127.0.0.1","TCP","40","3306  >  49895 [ACK] Seq=127 Ack=92 Win=7936 Len=0","0","3306","49895","0x010",""
"13","9.689740","127.0.0.1","127.0.0.1","MySQL","51","Response OK","11","3306","49895","0x018",""
"14","9.694741","127.0.0.1","127.0.0.1","TCP","40","49895  >  3306 [ACK] Seq=92 Ack=138 Win=7936 Len=0","0","49895","3306","0x010",""
"15","9.694741","127.0.0.1","127.0.0.1","MySQL","47","Request Set Option","7","49895","3306","0x018",""
"16","9.697241","127.0.0.1","127.0.0.1","TCP","40","3306  >  49895 [ACK] Seq=138 Ack=99 Win=7936 Len=0","0","3306","49895","0x010",""
"17","9.699741","127.0.0.1","127.0.0.1","MySQL","49","Response","9","3306","49895","0x018",""
"18","9.699741","127.0.0.1","127.0.0.1","TCP","40","49895  >  3306 [ACK] Seq=99 Ack=147 Win=7936 Len=0","0","49895","3306","0x010",""
"19","9.699741","127.0.0.1","127.0.0.1","MySQL","87","Request Query","47","49895","3306","0x018",""
"20","9.699741","127.0.0.1","127.0.0.1","TCP","40","3306  >  49895 [ACK] Seq=147 Ack=146 Win=7936 Len=0","0","3306","49895","0x010",""
"21","9.699741","127.0.0.1","127.0.0.1","MySQL","51","Response OK","11","3306","49895","0x018",""
"22","9.699741","127.0.0.1","127.0.0.1","TCP","40","49895  >  3306 [ACK] Seq=146 Ack=158 Win=7936 Len=0","0","49895","3306","0x010",""
"23","9.699741","127.0.0.1","127.0.0.1","MySQL","49","Request Use Database","9","49895","3306","0x018",""
"24","9.702241","127.0.0.1","127.0.0.1","TCP","40","3306  >  49895 [ACK] Seq=158 Ack=155 Win=7936 Len=0","0","3306","49895","0x010",""
