"No.","Time","Source","Destination","Protocol","Length","Info","Packet payload length","TCP source port","TCP destination port","TCP flags","HTTP request"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","52","49642  >  3306 [SYN] Seq=0 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM=1","0","49642","3306","0x002",""
"2","0.001000","127.0.0.1","127.0.0.1","TCP","52","3306  >  49642 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=65495 WS=256 SACK_PERM=1","0","3306","49642","0x012",""
"3","0.001000","127.0.0.1","127.0.0.1","TCP","40","49642  >  3306 [ACK] Seq=1 Ack=1 Win=8192 Len=0","0","49642","3306","0x010",""
"4","0.224013","127.0.0.1","127.0.0.1","MySQL","118","Server Greeting proto=10 version=5.6.20","78","3306","49642","0x018",""
"5","0.224013","127.0.0.1","127.0.0.1","TCP","40","49642  >  3306 [ACK] Seq=1 Ack=79 Win=7936 Len=0","0","49642","3306","0x010",""
"6","0.241014","127.0.0.1","127.0.0.1","MySQL","127","Login Request user=root","87","49642","3306","0x018",""
"7","0.241014","127.0.0.1","127.0.0.1","TCP","40","3306  >  49642 [ACK] Seq=79 Ack=88 Win=7936 Len=0","0","3306","49642","0x010",""
"8","0.241014","127.0.0.1","127.0.0.1","MySQL","88","Auth Switch Request","48","3306","49642","0x018",""
"9","0.241014","127.0.0.1","127.0.0.1","TCP","40","49642  >  3306 [ACK] Seq=88 Ack=127 Win=7936 Len=0","0","49642","3306","0x010",""
"10","0.242014","127.0.0.1","127.0.0.1","MySQL","44","Auth Switch Response","4","49642","3306","0x018",""
"11","0.242014","127.0.0.1","127.0.0.1","TCP","40","3306  >  49642 [ACK] Seq=127 Ack=92 Win=7936 Len=0","0","3306","49642","0x010",""
"12","0.253015","127.0.0.1","127.0.0.1","MySQL","51","Response OK","11","3306","49642","0x018",""
"13","0.253015","127.0.0.1","127.0.0.1","TCP","40","49642  >  3306 [ACK] Seq=92 Ack=138 Win=7936 Len=0","0","49642","3306","0x010",""
"14","0.253015","127.0.0.1","127.0.0.1","MySQL","47","Request Set Option","7","49642","3306","0x018",""
"15","0.253015","127.0.0.1","127.0.0.1","TCP","40","3306  >  49642 [ACK] Seq=138 Ack=99 Win=7936 Len=0","0","3306","49642","0x010",""
"16","0.254015","127.0.0.1","127.0.0.1","MySQL","49","Response","9","3306","49642","0x018",""
"17","0.254015","127.0.0.1","127.0.0.1","TCP","40","49642  >  3306 [ACK] Seq=99 Ack=147 Win=7936 Len=0","0","49642","3306","0x010",""
"18","0.254015","127.0.0.1","127.0.0.1","MySQL","87","Request Query","47","49642","3306","0x018",""
"19","0.254015","127.0.0.1","127.0.0.1","TCP","40","3306  >  49642 [ACK] Seq=147 Ack=146 Win=7936 Len=0","0","3306","49642","0x010",""
"20","0.260015","127.0.0.1","127.0.0.1","MySQL","51","Response OK","11","3306","49642","0x018",""
